Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
  2/7/2008,  Canberra,14.5,24.2,0,6.8,5.9,       SSW,61,         N,       NNW,11,20,76,76,999.4,998.9,7,7,17.9,20.3,        No,16.2,1
  8/3/2008,  Canberra,2.3,12.8,0,2.2,9.6,       WNW,35,       ENE,       WNW,4,24,70,48,1021.2,1018.1,1,1,7.8,11.6,        No,0,0
 2/22/2008,  Canberra,12.7,28.6,6.6,3.2,8.6,         W,50,       nan,         W,       nan,28,78,42,1008.3,1002.3,5,5,16.5,27.4,       Yes,0,0
  2/2/2008,  Canberra,14.9,28.8,0,5.8,8.1,       NNE,30,       SSE,       NNE,7,11,71,44,1018.2,1014.5,7,2,19.1,27,        No,0,0
  8/7/2008,  Canberra,-0.6,11.1,0,3,5,       NNW,41,        SE,         N,7,26,89,78,1018.4,1015.9,7,7,3.8,5.7,        No,1.2,1
 11/1/2007,  Canberra,8,24.3,0,3.4,6.3,        NW,30,        SW,        NW,6,20,68,29,1019.7,1015,7,7,14.4,23.6,        No,3.6,1
 8/12/2008,  Canberra,0.1,10.4,0,1.8,7.9,       WNW,59,        NW,       WNW,22,24,69,63,1021.3,1020.1,1,6,7,8.6,        No,0,0
12/29/2007,  Canberra,14.4,31.6,0,6.6,13.6,       NNW,30,        NW,         N,6,7,65,30,1017.1,1014.2,0,2,21.5,30.3,        No,0,0
  5/4/2008,  Canberra,-0.9,16.7,0,2.4,9.3,       NNW,30,        SW,       NNW,2,15,76,42,1022.7,1018.5,5,2,6.2,15.4,        No,0,0
 4/28/2008,  Canberra,4.3,11.3,7.2,4.4,5.6,         W,57,       WNW,       WNW,26,22,75,60,1006.3,1008.1,3,6,7.1,8.8,       Yes,0.2,0
 5/22/2008,  Canberra,2.4,14.7,0,2.6,9.2,       ESE,20,       SSE,         E,7,6,74,43,1030.4,1026,1,1,5.9,13.8,        No,0,0
 5/30/2008,  Canberra,-0.1,18,0,2,8.6,       nan,       nan,         N,       NNW,2,15,83,46,1033.2,1028.7,1,1,5.6,17.4,        No,0,0
 5/25/2008,  Canberra,-0.3,17.5,0,1.6,8.4,         W,39,        SE,       NNW,6,15,81,48,1025.5,1021.8,1,5,6.2,17.2,        No,3.8,1
11/12/07,  Canberra,8.5,27.3,0.2,7.2,12.5,         E,41,         E,        NW,2,15,54,35,1023.8,1019.9,0,3,16.8,26,        No,0,0
 4/29/2008,  Canberra,-2.1,13.8,0.2,1.8,9.5,       NNW,22,       nan,       NNW,0,9,69,40,1020.6,1019.6,0,1,6.3,13.2,        No,0,0
 9/15/2008,  Canberra,8.7,19.7,1.6,5.2,8,        NW,98,        NW,       NNW,31,52,63,33,1009.1,1001.5,3,6,15.6,18.5,       Yes,3.4,1
 1/29/2008,  Canberra,17.9,33.9,0,10.4,11.8,       ENE,46,         S,         W,6,11,72,22,1017.4,1014.6,1,1,19.8,32.3,        No,0,0
 7/30/2008,  Canberra,-2.8,12.2,0,2.6,8.7,       NNW,31,       nan,       NNW,0,15,84,48,1018.3,1014.6,1,1,2.7,11.5,        No,0,0
 6/29/2008,  Canberra,1.2,16,0,1.4,6.1,       NNW,31,         S,         N,6,22,84,38,1024.6,1020.9,7,6,6.5,14.6,        No,0,0
11/22/2007,  Canberra,16.4,19.4,0.4,9.2,0,         E,26,       ENE,         E,6,11,88,72,1010.7,1008.9,8,8,16.5,18.3,        No,25.8,1
 8/28/2008,  Canberra,-0.1,14.7,0,3.4,9.9,       ENE,30,        SE,        NE,6,15,60,43,1029.9,1025.9,1,5,7.2,12.3,        No,0,0
 9/20/2008,  Canberra,7.5,23.3,0,6.8,10.9,       WNW,65,         N,        NW,15,41,46,15,1012.5,1010.9,1,0,18.3,21.3,        No,0,0
 6/25/2008,  Canberra,4.3,12.6,0,2,9,        NW,46,       nan,       WNW,0,28,75,54,1026.3,1021.9,3,1,7.8,11.3,        No,0,0
11/10/07,  Canberra,8.4,22.8,16.2,5.4,7.7,         E,31,         S,       ESE,7,6,82,32,1024.1,1020.7,7,1,13.3,21.7,       Yes,0,0
  5/8/2008,  Canberra,-0.2,18.1,0,4.4,9.4,        NW,24,       nan,        NW,0,9,80,44,1021.4,1018.9,1,1,6.7,16.9,        No,0,0
 4/16/2008,  Canberra,6.3,19.3,0,3.4,10.6,         S,31,         S,        SE,9,13,65,39,1027.9,1024.4,1,1,12.6,18.8,        No,0,0
 8/21/2008,  Canberra,2.4,14.1,0,3,1.8,        NW,46,       NNW,        NW,15,30,50,27,1021.4,1017.8,8,8,8.6,13.2,        No,0,0
 8/11/2008,  Canberra,-0.3,9.3,0.4,1.4,9.9,         N,39,       NNW,         N,9,30,72,60,1017.4,1016.6,1,1,4.7,8.3,        No,0,0
 8/16/2008,  Canberra,3.7,14.2,0,3,10,       NNW,46,       WNW,       WSW,24,28,52,27,1012.7,1011.8,1,1,8.7,13.5,        No,0,0
  3/1/2008,  Canberra,4.4,21.8,0,6.2,12.1,         S,35,       SSE,       SSE,15,15,60,31,1020.8,1019.3,1,1,11.7,20,        No,0,0
 7/10/2008,  Canberra,1.8,8.7,0,1.8,1.2,        NW,65,        NW,        NW,31,35,83,85,1014.6,1010.5,7,7,6,6.9,        No,1.6,1
 7/31/2008,  Canberra,-2.8,14.1,0,2.2,6.8,       WNW,48,       nan,       WNW,0,26,81,38,1017.3,1012.9,1,7,3,12.8,        No,1,0
